season,week,slate,captain_position,captain_name,captain_team,captain_salary,captain_actual_points_base,optimal_lineup_points,game_total_line,game_spread_abs,max_team_implied_total,min_team_implied_total,implied_total_diff,has_vegas_line,pool_size,team_count,team1_player_count,team2_player_count,qb_count,rb_count,wr_count,te_count,k_count,dst_count,top_qb_proj_mean,top_rb_proj_mean,top_wr_proj_mean,top_te_proj_mean,top_k_proj_mean,top_dst_proj_mean,top_qb_salary,top_rb_salary,top_wr_salary,top_te_salary,top_k_salary,top_dst_salary,max_team_skill_out_count,team_skill_out_count_diff,max_team_position_out_count,injury_report_coverage,questionable_or_worse_count,rb_position_out_max,wr_position_out_max,te_position_out_max,max_team_available_skill_count,team_available_skill_count_diff,max_team_missing_usage_share,team_missing_usage_share_diff,max_team_available_usage_concentration,team_available_usage_concentration_diff,min_team_usage_identity_coverage
2024,16,monday_night,RB,Josh Jacobs,GB,17400,20.7,93.33,44.0,14.0,29.0,15.0,14.0,1.0,57.0,2.0,30.0,27.0,7.0,12.0,19.0,13.0,4.0,2.0,20.73778535332457,20.439619415946797,15.234239644822537,10.009433913043427,8.18133813369364,7.326388888888889,10600.0,11600.0,9000.0,5800.0,5200.0,6200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,0.0,0.0,0.2540494838020648,0.06582647444517206,0.6666666666666666
2024,16,saturday_kc_vs_hou,QB,Patrick Mahomes,KC,15600,23.7,127.31,42.5,3.5,23.0,19.5,3.5,1.0,62.0,2.0,32.0,30.0,7.0,13.0,23.0,14.0,3.0,2.0,26.126980348149203,16.962500930693434,20.12412610787319,18.58977790297431,10.246049171541603,6.932084309133489,10400.0,10800.0,11000.0,8600.0,5200.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,0.2678493923611111,0.1258236007941615,0.8214285714285714
2024,16,saturday_pit_vs_bal,TE,Isaiah Likely,BAL,4800,11.9,109.72999999999999,44.5,7.0,25.75,18.75,7.0,1.0,52.0,2.0,27.0,25.0,6.0,11.0,21.0,10.0,2.0,2.0,29.546679945072277,16.393033814629444,18.296885955205067,13.861394208905251,9.522614173021323,8.742459396751741,12200.0,12000.0,10600.0,6400.0,5400.0,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,0.025380710659898442,0.025380710659898442,0.19610822468385453,0.009801801072743421,0.9090909090909091
2024,16,sunday_det_vs_chi,WR,Keenan Allen,CHI,12000,32.1,163.95,47.5,7.0,27.25,20.25,7.0,1.0,51.0,2.0,27.0,24.0,6.0,11.0,19.0,10.0,3.0,2.0,21.44733646655034,18.45843820001692,21.077248304386565,13.14116160454397,10.11017718439754,7.651219512195122,9800.0,11000.0,10800.0,6600.0,5000.0,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,0.21132348479544447,0.022467205248248467,0.8695652173913043
2024,16,sunday_night,QB,Baker Mayfield,TB,14400,26.32,125.88000000000001,47.5,4.5,26.0,21.5,4.5,1.0,54.0,2.0,27.0,27.0,7.0,11.0,21.0,11.0,2.0,2.0,22.116400726773406,15.453145982057924,22.507586715416913,10.057417227325885,12.067938215918776,7.383693045563549,9600.0,9400.0,10600.0,5400.0,5200.0,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.20389255960930766,0.01799610073616842,0.8695652173913043
2024,17,monday_night,WR,Ricky Pearsall,SF,5400,31.700000000000003,183.85000000000002,50.5,4.0,27.25,23.25,4.0,1.0,52.0,2.0,28.0,24.0,7.0,13.0,19.0,8.0,3.0,2.0,22.8990824770322,20.02954455988829,21.48499675482556,16.139699302816663,9.88494910731082,6.625882352941177,9800.0,11600.0,10600.0,9000.0,5000.0,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,0.0,0.0,0.1812831420080415,0.03557677081690577,0.9130434782608695
2024,17,saturday_night_ari_vs_lar,TE,Trey McBride,ARI,13800,33.3,129.29,48.0,6.5,27.25,20.75,6.5,1.0,48.0,2.0,25.0,23.0,6.0,10.0,17.0,10.0,3.0,2.0,19.540673019265665,21.277263090468818,22.27662990277204,13.890555120740846,9.365286583060808,6.633333333333334,10000.0,10600.0,11000.0,9200.0,5400.0,4600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.19381688466111774,0.19381688466111774,0.85
2024,17,saturday_night_lac_vs_ne,WR,Ladd McConkey,LAC,15900,29.4,126.03999999999999,42.0,6.0,24.0,18.0,6.0,1.0,53.0,2.0,28.0,25.0,6.0,11.0,20.0,11.0,3.0,2.0,20.21762045811903,12.173879979431163,18.711603064427678,10.657978984246707,13.384278480705891,8.207207207207206,10000.0,8600.0,10600.0,7200.0,5800.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,0.10857142857142854,0.10857142857142854,0.16435455086258177,0.001961388469419373,0.76
2024,17,sunday_night_atl_vs_was,TE,Zach Ertz,WAS,6600,25.2,156.68,46.5,3.5,25.0,21.5,3.5,1.0,55.0,2.0,28.0,27.0,7.0,12.0,19.0,11.0,4.0,2.0,27.161336395605503,19.185251041814233,21.448806684960196,9.310952136322395,9.931632344605106,6.090686274509804,11800.0,11000.0,10200.0,4800.0,5200.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,0.240575544064116,0.10852037824778948,0.782608695652174
2024,17,thursday_night_sea_vs_chi,DST,Seahawks,SEA,6000,16.0,79.2,43.5,3.5,23.5,20.0,3.5,1.0,52.0,2.0,27.0,25.0,7.0,11.0,19.0,11.0,2.0,2.0,17.25559286519497,12.91187941016185,18.68735185315232,6.760198506445895,7.259164202334917,7.632603406326034,9600.0,8600.0,10200.0,4400.0,5000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,0.0,0.0,0.22227647569444448,0.07134128648174329,0.8695652173913043
2024,17,wednesday_night_hou_vs_bal,QB,Lamar Jackson,BAL,16500,29.42,119.23000000000002,46.5,5.5,26.0,20.5,5.5,1.0,56.0,2.0,30.0,26.0,7.0,14.0,20.0,11.0,2.0,2.0,29.17726883857906,16.788814707415746,21.452799449486857,12.846918381254662,11.138939242189606,8.75462962962963,11000.0,11200.0,11400.0,5800.0,5400.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,0.004784688995215336,0.004784688995215336,0.2443100697068951,0.013818205801569644,0.8461538461538461
2024,17,wednesday_night_kc_vs_pit,WR,Xavier Worthy,KC,12900,22.9,134.64999999999998,43.5,3.0,23.25,20.25,3.0,1.0,56.0,2.0,31.0,25.0,6.0,10.0,23.0,12.0,3.0,2.0,24.968384692410442,9.824958781455635,16.249406148791543,14.59982288991658,7.799350938313699,8.155813953488373,10400.0,7800.0,9600.0,8200.0,5400.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,0.03629032258064513,0.010112312109440968,0.17510694878020583,0.019910085980184816,0.8148148148148148
2024,19,saturday_night_pit_vs_bal,RB,Derrick Henry,BAL,18300,33.6,125.4,44.5,9.5,27.0,17.5,9.5,1.0,52.0,2.0,27.0,25.0,6.0,11.0,21.0,10.0,2.0,2.0,26.59927431097525,21.139492832178817,15.952707631408312,13.072501254896482,9.806617846808136,8.783410138248849,12000.0,12200.0,10200.0,6400.0,5000.0,5800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,0.005319148936170248,0.005319148936170248,0.23514739229024942,0.05678941808452437,0.9090909090909091
2025,1,friday,QB,Justin Herbert,LAC,14700,30.919999999999998,140.8,47.5,3.0,25.25,22.25,3.0,1.0,53.0,2.0,28.0,25.0,6.0,14.0,17.0,12.0,2.0,2.0,24.14506591295289,10.90032296734168,23.215614460571516,15.400390621248338,9.185229944088675,6.89607390300231,10000.0,8000.0,10600.0,8600.0,5000.0,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,0.4327731092436975,0.22362278244631184,0.19791495198902606,0.03255739444514244,0.7619047619047619
2025,1,thursday,RB,Javonte Williams,DAL,8100,20.4,114.17999999999999,47.5,8.5,28.0,19.5,8.5,1.0,65.0,2.0,35.0,30.0,8.0,14.0,25.0,14.0,2.0,2.0,25.025564530019015,22.415045242722837,21.934035579694545,11.120493091706962,9.08939409778348,7.596810933940774,11000.0,11200.0,10800.0,6400.0,4800.0,4600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,5.0,0.5485232067510548,0.4664719246997727,0.39265316313473364,0.24670155164028,0.6470588235294118
2025,5,monday_night,QB,Patrick Mahomes,KC,15900,30.72,133.72,45.5,3.5,24.5,21.0,3.5,1.0,52.0,2.0,28.0,24.0,6.0,12.0,18.0,12.0,2.0,2.0,24.278176461755123,14.664698119587463,16.812937427469784,15.008410060633452,9.563049298272851,6.887871853546911,10600.0,9800.0,10200.0,7600.0,5400.0,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,1.0,0.8518518518518519,0.15181947069943288,0.15181947069943288,0.7894736842105263
2025,5,sunday_late,WR,Stefon Diggs,NE,11700,27.6,122.62,49.5,7.5,28.5,21.0,7.5,1.0,48.0,2.0,25.0,23.0,6.0,13.0,16.0,8.0,3.0,2.0,24.661248218534734,20.047220773288913,13.899401386606234,11.861123027009302,7.67332735599499,8.164444444444445,12000.0,11400.0,8200.0,7600.0,5000.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,0.07339449541284404,0.07339449541284404,0.23257523772179198,0.0936608412316379,0.5909090909090909
2025,7,thursday_night,TE,Pat Freiermuth,PIT,4500,31.1,181.09,45.5,5.5,25.5,20.0,5.5,1.0,53.0,2.0,27.0,26.0,9.0,11.0,16.0,13.0,2.0,2.0,17.195867250034574,11.199760130801781,22.871641338662993,7.922474878501209,10.467592155280947,8.114155251141552,9800.0,8400.0,12000.0,4000.0,5400.0,5800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.015957446808510634,0.010855405992184153,0.18437869822485206,0.013246484930476587,0.9
